Semana,Data_Fim_Semana,Commits_Semana,Horas_Planejadas_Acum,Horas_Trabalhadas_Acum,PV_Acumulado,EV_Acumulado,AC_Acumulado,CPI,SPI,Tendencia
1,2025-04-22,8,20,25,20,25,25,1.00,1.25,Ahead of Schedule
2,2025-04-29,0,40,25,40,25,25,1.00,0.63,Behind Schedule
3,2025-05-06,0,60,25,60,25,25,1.00,0.42,Significantly Behind
4,2025-05-13,0,80,25,80,25,25,1.00,0.31,Critically Behind
5,2025-05-20,0,100,25,100,25,25,1.00,0.25,Critically Behind
6,2025-05-27,1,120,30,120,30,30,1.00,0.25,Critically Behind
7,2025-06-03,3,120,43,120,43,43,1.00,0.36,Behind Schedule
8,2025-06-10,7,120,80,120,80,80,1.00,0.67,Behind Schedule
9,2025-06-17,0,120,80,120,80,80,1.00,0.67,Behind Schedule
10,2025-06-24,0,120,80,120,80,80,1.00,0.67,Behind Schedule
11,2025-07-01,8,120,108,120,108,108,1.00,0.90,Slightly Behind
12,2025-07-08,6,120,120,120,120,120,1.00,1.00,On Track
